"","TIME","GEO","PRODUCT","Value"
"217",2007,"Turkey","Natural gas",0.033
"218",2008,"Turkey","Natural gas",0.0467
"219",2009,"Turkey","Natural gas",0.0308
"220",2010,"Turkey","Natural gas",0.0335
"221",2011,"Turkey","Natural gas",0.0293
"222",2012,"Turkey","Natural gas",0.0409
"223",2013,"Turkey","Natural gas",0.0371
"224",2014,"Turkey","Natural gas",0.0373
"225",2007,"Bosnia and Herzegovina","Natural gas",NA
"226",2008,"Bosnia and Herzegovina","Natural gas",NA
"227",2009,"Bosnia and Herzegovina","Natural gas",NA
"228",2010,"Bosnia and Herzegovina","Natural gas",0.0447
"229",2011,"Bosnia and Herzegovina","Natural gas",0.0536
"230",2012,"Bosnia and Herzegovina","Natural gas",0.0555
"231",2013,"Bosnia and Herzegovina","Natural gas",0.0512
"232",2014,"Bosnia and Herzegovina","Natural gas",0.0512
"233",2007,"Belgium","Electrical energy",0.1683
"234",2008,"Belgium","Electrical energy",0.2152
"235",2009,"Belgium","Electrical energy",0.1864
"236",2010,"Belgium","Electrical energy",0.1974
"237",2011,"Belgium","Electrical energy",0.2119
"238",2012,"Belgium","Electrical energy",0.2223
"239",2013,"Belgium","Electrical energy",0.2215
"240",2014,"Belgium","Electrical energy",0.2043
"241",2007,"Bulgaria","Electrical energy",0.0721
"242",2008,"Bulgaria","Electrical energy",0.0823
"243",2009,"Bulgaria","Electrical energy",0.0818
"244",2010,"Bulgaria","Electrical energy",0.083
"245",2011,"Bulgaria","Electrical energy",0.0874
"246",2012,"Bulgaria","Electrical energy",0.0955
"247",2013,"Bulgaria","Electrical energy",0.0882
"248",2014,"Bulgaria","Electrical energy",0.0895
"249",2007,"Czech Republic","Electrical energy",0.1063
"250",2008,"Czech Republic","Electrical energy",0.1299
"251",2009,"Czech Republic","Electrical energy",0.1394
"252",2010,"Czech Republic","Electrical energy",0.1392
"253",2011,"Czech Republic","Electrical energy",0.1466
"254",2012,"Czech Republic","Electrical energy",0.1501
"255",2013,"Czech Republic","Electrical energy",0.1493
"256",2014,"Czech Republic","Electrical energy",0.1274
"257",2007,"Denmark","Electrical energy",0.2401
"258",2008,"Denmark","Electrical energy",0.2785
"259",2009,"Denmark","Electrical energy",0.2553
"260",2010,"Denmark","Electrical energy",0.2708
"261",2011,"Denmark","Electrical energy",0.2975
"262",2012,"Denmark","Electrical energy",0.2972
"263",2013,"Denmark","Electrical energy",0.2936
"264",2014,"Denmark","Electrical energy",0.3035
"265",2007,"Germany","Electrical energy",0.2105
"266",2008,"Germany","Electrical energy",0.2195
"267",2009,"Germany","Electrical energy",0.2294
"268",2010,"Germany","Electrical energy",0.2438
"269",2011,"Germany","Electrical energy",0.2531
"270",2012,"Germany","Electrical energy",0.2676
"271",2013,"Germany","Electrical energy",0.2921
"272",2014,"Germany","Electrical energy",0.2974
"273",2007,"Estonia","Electrical energy",0.0786
"274",2008,"Estonia","Electrical energy",0.085
"275",2009,"Estonia","Electrical energy",0.092
"276",2010,"Estonia","Electrical energy",0.1004
"277",2011,"Estonia","Electrical energy",0.1042
"278",2012,"Estonia","Electrical energy",0.1123
"279",2013,"Estonia","Electrical energy",0.1367
"280",2014,"Estonia","Electrical energy",0.1325
"281",2007,"Ireland","Electrical energy",0.1918
"282",2008,"Ireland","Electrical energy",0.2033
"283",2009,"Ireland","Electrical energy",0.1855
"284",2010,"Ireland","Electrical energy",0.1875
"285",2011,"Ireland","Electrical energy",0.2086
"286",2012,"Ireland","Electrical energy",0.2289
"287",2013,"Ireland","Electrical energy",0.2405
"288",2014,"Ireland","Electrical energy",0.2536
"289",2007,"Greece","Electrical energy",0.0984
"290",2008,"Greece","Electrical energy",0.1099
"291",2009,"Greece","Electrical energy",0.1032
"292",2010,"Greece","Electrical energy",0.1211
"293",2011,"Greece","Electrical energy",0.1238
"294",2012,"Greece","Electrical energy",0.1418
"295",2013,"Greece","Electrical energy",0.1697
"296",2014,"Greece","Electrical energy",0.1785
"297",2007,"Spain","Electrical energy",0.14
"298",2008,"Spain","Electrical energy",0.1557
"299",2009,"Spain","Electrical energy",0.1684
"300",2010,"Spain","Electrical energy",0.1851
"301",2011,"Spain","Electrical energy",0.2088
"302",2012,"Spain","Electrical energy",0.2275
"303",2013,"Spain","Electrical energy",0.2273
"304",2014,"Spain","Electrical energy",0.2367
"305",2007,"France","Electrical energy",0.1222
"306",2008,"France","Electrical energy",0.1203
"307",2009,"France","Electrical energy",0.1207
"308",2010,"France","Electrical energy",0.135
"309",2011,"France","Electrical energy",0.1422
"310",2012,"France","Electrical energy",0.145
"311",2013,"France","Electrical energy",0.1589
"312",2014,"France","Electrical energy",0.1751
"313",2007,"Croatia","Electrical energy",0.0984
"314",2008,"Croatia","Electrical energy",0.1184
"315",2009,"Croatia","Electrical energy",0.1164
"316",2010,"Croatia","Electrical energy",0.1153
"317",2011,"Croatia","Electrical energy",0.1146
"318",2012,"Croatia","Electrical energy",0.1384
"319",2013,"Croatia","Electrical energy",0.135
"320",2014,"Croatia","Electrical energy",0.1324
"321",2007,"Italy","Electrical energy",NA
"322",2008,"Italy","Electrical energy",0.2227
"323",2009,"Italy","Electrical energy",0.1997
"324",2010,"Italy","Electrical energy",0.192
"325",2011,"Italy","Electrical energy",0.2065
"326",2012,"Italy","Electrical energy",0.2297
"327",2013,"Italy","Electrical energy",0.2323
"328",2014,"Italy","Electrical energy",0.2338
"329",2007,"Cyprus","Electrical energy",0.1573
"330",2008,"Cyprus","Electrical energy",0.204
"331",2009,"Cyprus","Electrical energy",0.1642
"332",2010,"Cyprus","Electrical energy",0.2021
"333",2011,"Cyprus","Electrical energy",0.2413
"334",2012,"Cyprus","Electrical energy",0.2909
"335",2013,"Cyprus","Electrical energy",0.2481
"336",2014,"Cyprus","Electrical energy",0.2356
"337",2007,"Latvia","Electrical energy",0.0729
"338",2008,"Latvia","Electrical energy",0.1003
"339",2009,"Latvia","Electrical energy",0.1054
"340",2010,"Latvia","Electrical energy",0.1048
"341",2011,"Latvia","Electrical energy",0.1342
"342",2012,"Latvia","Electrical energy",0.1369
"343",2013,"Latvia","Electrical energy",0.1358
"344",2014,"Latvia","Electrical energy",0.1301
"345",2007,"Lithuania","Electrical energy",0.087
"346",2008,"Lithuania","Electrical energy",0.0865
"347",2009,"Lithuania","Electrical energy",0.0926
"348",2010,"Lithuania","Electrical energy",0.1216
"349",2011,"Lithuania","Electrical energy",0.1221
"350",2012,"Lithuania","Electrical energy",0.1268
"351",2013,"Lithuania","Electrical energy",0.1391
"352",2014,"Lithuania","Electrical energy",0.1319
"353",2007,"Luxembourg","Electrical energy",0.1645
"354",2008,"Luxembourg","Electrical energy",0.1609
"355",2009,"Luxembourg","Electrical energy",0.1882
"356",2010,"Luxembourg","Electrical energy",0.1747
"357",2011,"Luxembourg","Electrical energy",0.1662
"358",2012,"Luxembourg","Electrical energy",0.1706
"359",2013,"Luxembourg","Electrical energy",0.1646
"360",2014,"Luxembourg","Electrical energy",0.1738
"361",2007,"Hungary","Electrical energy",0.1296
"362",2008,"Hungary","Electrical energy",0.1553
"363",2009,"Hungary","Electrical energy",0.1662
"364",2010,"Hungary","Electrical energy",0.1574
"365",2011,"Hungary","Electrical energy",0.1553
"366",2012,"Hungary","Electrical energy",0.1618
"367",2013,"Hungary","Electrical energy",0.1326
"368",2014,"Hungary","Electrical energy",0.1146
"369",2007,"Malta","Electrical energy",0.0918
"370",2008,"Malta","Electrical energy",0.1536
"371",2009,"Malta","Electrical energy",0.1513
"372",2010,"Malta","Electrical energy",0.1653
"373",2011,"Malta","Electrical energy",0.1666
"374",2012,"Malta","Electrical energy",0.1678
"375",2013,"Malta","Electrical energy",0.1689
"376",2014,"Malta","Electrical energy",0.1247
"377",2007,"Netherlands","Electrical energy",0.1741
"378",2008,"Netherlands","Electrical energy",0.1798
"379",2009,"Netherlands","Electrical energy",0.1887
"380",2010,"Netherlands","Electrical energy",0.1762
"381",2011,"Netherlands","Electrical energy",0.1838
"382",2012,"Netherlands","Electrical energy",0.1895
"383",2013,"Netherlands","Electrical energy",0.1915
"384",2014,"Netherlands","Electrical energy",0.1732
"385",2007,"Austria","Electrical energy",0.174
"386",2008,"Austria","Electrical energy",0.1772
"387",2009,"Austria","Electrical energy",0.1909
"388",2010,"Austria","Electrical energy",0.193
"389",2011,"Austria","Electrical energy",0.1965
"390",2012,"Austria","Electrical energy",0.2024
"391",2013,"Austria","Electrical energy",0.2018
"392",2014,"Austria","Electrical energy",0.1987
"393",2007,"Poland","Electrical energy",0.138
"394",2008,"Poland","Electrical energy",0.1295
"395",2009,"Poland","Electrical energy",0.1291
"396",2010,"Poland","Electrical energy",0.1382
"397",2011,"Poland","Electrical energy",0.1351
"398",2012,"Poland","Electrical energy",0.1529
"399",2013,"Poland","Electrical energy",0.1437
"400",2014,"Poland","Electrical energy",0.1408
"401",2007,"Portugal","Electrical energy",0.1562
"402",2008,"Portugal","Electrical energy",0.1525
"403",2009,"Portugal","Electrical energy",0.1594
"404",2010,"Portugal","Electrical energy",0.1666
"405",2011,"Portugal","Electrical energy",0.1881
"406",2012,"Portugal","Electrical energy",0.2063
"407",2013,"Portugal","Electrical energy",0.2131
"408",2014,"Portugal","Electrical energy",0.2231
"409",2007,"Romania","Electrical energy",0.1141
"410",2008,"Romania","Electrical energy",0.1103
"411",2009,"Romania","Electrical energy",0.0979
"412",2010,"Romania","Electrical energy",0.1052
"413",2011,"Romania","Electrical energy",0.1085
"414",2012,"Romania","Electrical energy",0.1075
"415",2013,"Romania","Electrical energy",0.1279
"416",2014,"Romania","Electrical energy",0.1248
"417",2007,"Slovenia","Electrical energy",0.1116
"418",2008,"Slovenia","Electrical energy",0.1156
"419",2009,"Slovenia","Electrical energy",0.1341
"420",2010,"Slovenia","Electrical energy",0.1426
"421",2011,"Slovenia","Electrical energy",0.1492
"422",2012,"Slovenia","Electrical energy",0.1542
"423",2013,"Slovenia","Electrical energy",0.1657
"424",2014,"Slovenia","Electrical energy",0.1632
"425",2007,"Slovakia","Electrical energy",0.137
"426",2008,"Slovakia","Electrical energy",0.1526
"427",2009,"Slovakia","Electrical energy",0.156
"428",2010,"Slovakia","Electrical energy",0.1637
"429",2011,"Slovakia","Electrical energy",0.171
"430",2012,"Slovakia","Electrical energy",0.1722
"431",2013,"Slovakia","Electrical energy",0.1678
"432",2014,"Slovakia","Electrical energy",0.1523
"433",2007,"Finland","Electrical energy",0.1149
"434",2008,"Finland","Electrical energy",0.1273
"435",2009,"Finland","Electrical energy",0.1289
"436",2010,"Finland","Electrical energy",0.137
"437",2011,"Finland","Electrical energy",0.1573
"438",2012,"Finland","Electrical energy",0.1559
"439",2013,"Finland","Electrical energy",0.1559
"440",2014,"Finland","Electrical energy",0.1538
"441",2007,"Sweden","Electrical energy",0.1613
"442",2008,"Sweden","Electrical energy",0.1746
"443",2009,"Sweden","Electrical energy",0.1646
"444",2010,"Sweden","Electrical energy",0.1958
"445",2011,"Sweden","Electrical energy",0.2044
"446",2012,"Sweden","Electrical energy",0.2083
"447",2013,"Sweden","Electrical energy",0.2046
"448",2014,"Sweden","Electrical energy",0.1867
"449",2007,"United Kingdom","Electrical energy",0.1481
"450",2008,"United Kingdom","Electrical energy",0.1603
"451",2009,"United Kingdom","Electrical energy",0.1407
"452",2010,"United Kingdom","Electrical energy",0.1449
"453",2011,"United Kingdom","Electrical energy",0.1584
"454",2012,"United Kingdom","Electrical energy",0.1785
"455",2013,"United Kingdom","Electrical energy",0.1797
"456",2014,"United Kingdom","Electrical energy",0.2013
"457",2007,"Iceland","Electrical energy",NA
"458",2008,"Iceland","Electrical energy",NA
"459",2009,"Iceland","Electrical energy",NA
"460",2010,"Iceland","Electrical energy",NA
"461",2011,"Iceland","Electrical energy",NA
"462",2012,"Iceland","Electrical energy",0.1164
"463",2013,"Iceland","Electrical energy",0.1072
"464",2014,"Iceland","Electrical energy",0.1158
"465",2007,"Liechtenstein","Electrical energy",NA
"466",2008,"Liechtenstein","Electrical energy",NA
"467",2009,"Liechtenstein","Electrical energy",NA
"468",2010,"Liechtenstein","Electrical energy",NA
"469",2011,"Liechtenstein","Electrical energy",NA
"470",2012,"Liechtenstein","Electrical energy",NA
"471",2013,"Liechtenstein","Electrical energy",NA
"472",2014,"Liechtenstein","Electrical energy",0.1548
"473",2007,"Norway","Electrical energy",0.1498
"474",2008,"Norway","Electrical energy",0.17
"475",2009,"Norway","Electrical energy",0.1563
"476",2010,"Norway","Electrical energy",0.1907
"477",2011,"Norway","Electrical energy",0.187
"478",2012,"Norway","Electrical energy",0.1775
"479",2013,"Norway","Electrical energy",0.1778
"480",2014,"Norway","Electrical energy",0.1661
"481",2007,"Montenegro","Electrical energy",NA
"482",2008,"Montenegro","Electrical energy",NA
"483",2009,"Montenegro","Electrical energy",NA
"484",2010,"Montenegro","Electrical energy",NA
"485",2011,"Montenegro","Electrical energy",0.0852
"486",2012,"Montenegro","Electrical energy",0.095
"487",2013,"Montenegro","Electrical energy",0.0988
"488",2014,"Montenegro","Electrical energy",0.0988
"489",2007,"Albania","Electrical energy",NA
"490",2008,"Albania","Electrical energy",NA
"491",2009,"Albania","Electrical energy",NA
"492",2010,"Albania","Electrical energy",NA
"493",2011,"Albania","Electrical energy",0.1157
"494",2012,"Albania","Electrical energy",0.1167
"495",2013,"Albania","Electrical energy",0.1154
"496",2014,"Albania","Electrical energy",0.116
"497",2007,"Serbia","Electrical energy",NA
"498",2008,"Serbia","Electrical energy",NA
"499",2009,"Serbia","Electrical energy",NA
"500",2010,"Serbia","Electrical energy",NA
"501",2011,"Serbia","Electrical energy",NA
"502",2012,"Serbia","Electrical energy",NA
"503",2013,"Serbia","Electrical energy",0.0608
"504",2014,"Serbia","Electrical energy",0.0596
"505",2007,"Turkey","Electrical energy",0.0901
"506",2008,"Turkey","Electrical energy",0.1222
"507",2009,"Turkey","Electrical energy",0.1179
"508",2010,"Turkey","Electrical energy",0.1374
"509",2011,"Turkey","Electrical energy",0.1145
"510",2012,"Turkey","Electrical energy",0.147
"511",2013,"Turkey","Electrical energy",0.1314
"512",2014,"Turkey","Electrical energy",0.131
"513",2007,"Bosnia and Herzegovina","Electrical energy",NA
"514",2008,"Bosnia and Herzegovina","Electrical energy",NA
"515",2009,"Bosnia and Herzegovina","Electrical energy",NA
"516",2010,"Bosnia and Herzegovina","Electrical energy",0.0735
"517",2011,"Bosnia and Herzegovina","Electrical energy",0.0785
"518",2012,"Bosnia and Herzegovina","Electrical energy",0.0804
"519",2013,"Bosnia and Herzegovina","Electrical energy",0.0796
"520",2014,"Bosnia and Herzegovina","Electrical energy",0.0805
